City,Colors_Reported,Shape_Reported,State,Time,Year,Month,Day,Hour
Ithaca,,TRIANGLE,NY,1930-06-01 22:00:00,1930,6,1,22
Willingboro,,OTHER,NJ,1930-06-30 20:00:00,1930,6,30,20
Holyoke,,OVAL,CO,1931-02-15 14:00:00,1931,2,15,14
Abilene,,DISK,KS,1931-06-01 13:00:00,1931,6,1,13
New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00,1933,4,18,19
Valley City,,DISK,ND,1934-09-15 15:30:00,1934,9,15,15
Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00,1935,6,15,0
Alma,,DISK,MI,1936-07-15 00:00:00,1936,7,15,0
Eklutna,,CIGAR,AK,1936-10-15 17:00:00,1936,10,15,17
Hubbard,,CYLINDER,OR,1937-06-15 00:00:00,1937,6,15,0
Fontana,,LIGHT,CA,1937-08-15 21:00:00,1937,8,15,21
Waterloo,,FIREBALL,AL,1939-06-01 20:00:00,1939,6,1,20
Belton,RED,SPHERE,SC,1939-06-30 20:00:00,1939,6,30,20
Keokuk,,OVAL,IA,1939-07-07 02:00:00,1939,7,7,2
Ludington,,DISK,MI,1941-06-01 13:00:00,1941,6,1,13
Forest Home,,CIRCLE,CA,1941-07-02 11:30:00,1941,7,2,11
Los Angeles,,,CA,1942-02-25 00:00:00,1942,2,25,0
Hapeville,,,GA,1942-06-01 22:30:00,1942,6,1,22
Oneida,,RECTANGLE,TN,1942-07-15 01:00:00,1942,7,15,1
Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00,1943,4,30,23
Nebraska,,DISK,NE,1943-06-01 15:00:00,1943,6,1,15
Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00,1943,10,15,11
Wilderness,,DISK,WV,1944-01-01 10:00:00,1944,1,1,10
San Diego,,CIGAR,CA,1944-01-01 12:00:00,1944,1,1,12
Wilderness,,DISK,WV,1944-01-01 12:00:00,1944,1,1,12
Clovis,,DISK,NM,1944-04-02 11:00:00,1944,4,2,11
Los Alamos,,DISK,NM,1944-06-01 12:00:00,1944,6,1,12
Ft. Duschene,,DISK,UT,1944-06-30 10:00:00,1944,6,30,10
South Kingstown,,SPHERE,RI,1944-07-01 20:00:00,1944,7,1,20
North Tampa,,CYLINDER,FL,1944-07-15 13:00:00,1944,7,15,13
Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00,1945,1,1,12
Salinas AFB,,DISK,CA,1945-06-01 12:00:00,1945,6,1,12
Jasper,,FIREBALL,FL,1945-06-01 13:30:00,1945,6,1,13
Winston-Salem,,DISK,NC,1945-06-07 07:00:00,1945,6,7,7
Portsmouth,RED,FORMATION,VA,1945-07-10 01:30:00,1945,7,10,1
Dallas,,SPHERE,TX,1945-07-15 14:00:00,1945,7,15,14
Huntington Beach,,DISK,CA,1945-08-08 12:00:00,1945,8,8,12
San Antonio,,OVAL,NM,1945-08-16 11:30:00,1945,8,16,11
Roswell,,SPHERE,NM,1945-12-15 02:00:00,1945,12,15,2
New York City,,DISK,NY,1946-01-08 02:00:00,1946,1,8,2
Merced,,SPHERE,CA,1946-02-01 17:00:00,1946,2,1,17
Alice,,DISK,TX,1946-03-15 15:30:00,1946,3,15,15
Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00,1946,6,30,19
Index,,FIREBALL,WA,1946-06-30 21:00:00,1946,6,30,21
South Portland,,OVAL,ME,1946-07-01 13:30:00,1946,7,1,13
Oak Lawn,,FORMATION,IL,1946-09-12 00:00:00,1946,9,12,0
Dome,,FLASH,AZ,1946-09-30 20:30:00,1946,9,30,20
Conroe,,OTHER,TX,1947-01-10 20:00:00,1947,1,10,20
Syracuse,,DISK,NY,1947-02-20 22:15:00,1947,2,20,22
Miami,,OTHER,FL,1947-04-15 14:00:00,1947,4,15,14
San Deigo,,TRIANGLE,CA,1947-04-15 23:00:00,1947,4,15,23
Minden,,,LA,1947-06-01 00:00:00,1947,6,1,0
Cleveland,,LIGHT,OH,1947-06-01 02:30:00,1947,6,1,2
Espanola,,CIRCLE,NM,1947-06-01 17:00:00,1947,6,1,17
Oroville,,,CA,1947-06-01 18:00:00,1947,6,1,18
Oakmont,,,PA,1947-06-13 20:18:00,1947,6,13,20
Winona,,DISK,MN,1947-06-15 10:00:00,1947,6,15,10
Gackle,,OTHER,ND,1947-06-15 14:00:00,1947,6,15,14
Madison,,DISK,WI,1947-06-15 18:00:00,1947,6,15,18
Hayward,,CIRCLE,CA,1947-06-20 12:00:00,1947,6,20,12
Tacoma,,OTHER,WA,1947-06-30 00:00:00,1947,6,30,0
Baltimore,,OVAL,MD,1947-06-30 18:00:00,1947,6,30,18
Cashmere,,FORMATION,WA,1947-07-01 20:00:00,1947,7,1,20
Maywood,,DISK,CA,1947-07-01 20:00:00,1947,7,1,20
Wexford,BLUE,,PA,1947-07-01 20:00:00,1947,7,1,20
Sioux Falls,,,SD,1947-07-04 00:00:00,1947,7,4,0
Seattle,,OVAL,WA,1947-07-04 17:30:00,1947,7,4,17
Dell Rapids,,,SD,1947-07-05 00:00:00,1947,7,5,0
Philadelphia,,DISK,PA,1947-07-05 11:30:00,1947,7,5,11
Roswell,,,NM,1947-07-07 00:00:00,1947,7,7,0
Johnston City,,DISK,IL,1947-07-09 20:00:00,1947,7,9,20
Roswell,,,NM,1947-07-11 00:00:00,1947,7,11,0
Syracuse,,CIGAR,NY,1947-07-14 10:30:00,1947,7,14,10
Richmond,,CIRCLE,CA,1947-07-14 11:00:00,1947,7,14,11
Las Vegas,,DISK,NV,1947-07-15 10:00:00,1947,7,15,10
Keeneyville,,FORMATION,IL,1947-07-15 12:00:00,1947,7,15,12
Clintwood,,CYLINDER,VA,1947-07-15 15:00:00,1947,7,15,15
Hazelton,,DISK,ID,1947-07-15 15:00:00,1947,7,15,15
Minneapolis,,DISK,MN,1947-07-15 17:00:00,1947,7,15,17
Morehouse,,CYLINDER,MO,1947-07-15 21:00:00,1947,7,15,21
San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00,1947,7,15,21
Raton,,OVAL,NM,1947-07-20 22:00:00,1947,7,20,22
Modesto,BLUE,DISK,CA,1947-08-08 22:00:00,1947,8,8,22
Green Valley,,,WI,1947-08-10 20:00:00,1947,8,10,20
Henrietta,,LIGHT,OK,1947-08-12 01:00:00,1947,8,12,1
Saranac Lake,,DISK,NY,1947-08-12 22:00:00,1947,8,12,22
Proctor,,CIGAR,OK,1947-08-15 20:15:00,1947,8,15,20
Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00,1947,12,24,21
Kelseyville,,DISK,CA,1948-04-30 12:00:00,1948,4,30,12
Scipio,RED,SPHERE,IN,1948-05-10 19:00:00,1948,5,10,19
Borger,,DISK,TX,1948-06-15 16:00:00,1948,6,15,16
Baltimore,,OVAL,MD,1948-06-30 00:00:00,1948,6,30,0
Jim Ridge,,,WV,1948-06-30 08:00:00,1948,6,30,8
Ojai,,LIGHT,CA,1948-07-15 22:00:00,1948,7,15,22
New York City,,CIRCLE,NY,1948-08-01 02:00:00,1948,8,1,2
Conshohocken,,OVAL,PA,1948-08-15 12:00:00,1948,8,15,12
Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00,1948,12,12,23
Seattle,,DISK,WA,1949-04-10 15:00:00,1949,4,10,15
Oak Ridge,,OTHER,WV,1949-05-01 14:00:00,1949,5,1,14
Grays,,LIGHT,SC,1949-05-15 06:30:00,1949,5,15,6
Los Angeles,,CIRCLE,CT,1949-06-04 10:00:00,1949,6,4,10
Anchorage,,DISK,AK,1949-06-10 21:00:00,1949,6,10,21
Knoxville,,OTHER,TN,1949-06-30 15:00:00,1949,6,30,15
Salem,,CIGAR,OR,1949-06-30 21:00:00,1949,6,30,21
Fairbanks,,DISK,AK,1949-07-01 11:00:00,1949,7,1,11
Marion,,FORMATION,AL,1949-07-01 16:00:00,1949,7,1,16
Booneville,,,MS,1949-07-15 20:30:00,1949,7,15,20
Excelsior,,CIRCLE,MN,1949-08-15 00:00:00,1949,8,15,0
Mill Valley,,LIGHT,CA,1949-08-15 21:00:00,1949,8,15,21
Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00,1949,8,15,22
Steilacoom,,DISK,WA,1949-08-25 19:00:00,1949,8,25,19
Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00,1949,9,15,21
Post,,DISK,TX,1949-09-15 21:00:00,1949,9,15,21
San Marcos,,CYLINDER,TX,1949-10-10 20:30:00,1949,10,10,20
Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00,1949,10,10,21
Baltimore,,CIGAR,MD,1949-10-15 20:00:00,1949,10,15,20
Mount Hope,,,WV,1950-01-01 22:00:00,1950,1,1,22
New York City,,OVAL,NY,1950-01-02 00:00:00,1950,1,2,0
Roswell,RED,,NM,1950-03-22 00:00:00,1950,3,22,0
Arkansas,,DISK,AR,1950-04-15 08:00:00,1950,4,15,8
Waynesborough,,DISK,VA,1950-04-15 14:00:00,1950,4,15,14
Fort Lewis,,TRIANGLE,WA,1950-05-12 14:00:00,1950,5,12,14
Crowder,,,MS,1950-06-01 00:00:00,1950,6,1,0
Philadelphia,,DISK,MS,1950-06-01 16:00:00,1950,6,1,16
Pittsburgh,,OVAL,PA,1950-06-01 20:00:00,1950,6,1,20
Kensington,,OVAL,MD,1950-06-07 20:00:00,1950,6,7,20
Kansas City,,DISK,MO,1950-06-08 10:00:00,1950,6,8,10
Napa,GREEN,DISK,CA,1950-06-10 00:00:00,1950,6,10,0
Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00,1950,6,15,13
Bonifay,,DISK,FL,1950-06-15 20:00:00,1950,6,15,20
Fort Worth,,DISK,TX,1950-06-15 20:00:00,1950,6,15,20
Booneville,,DISK,MS,1950-06-20 10:00:00,1950,6,20,10
Galveston,,SPHERE,TX,1950-06-20 17:00:00,1950,6,20,17
Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00,1950,6,30,16
Florence,,DISK,CO,1950-06-30 17:30:00,1950,6,30,17
Florence,,LIGHT,CO,1950-06-30 17:30:00,1950,6,30,17
Coeur d'Alene,ORANGE,CIGAR,ID,1950-07-02 13:00:00,1950,7,2,13
Bay St. Louis,,LIGHT,MS,1950-07-02 21:00:00,1950,7,2,21
East Palestine,,LIGHT,OH,1950-07-10 20:30:00,1950,7,10,20
Newark,,SPHERE,NJ,1950-07-15 21:30:00,1950,7,15,21
Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00,1950,7,15,23
Smithport,,DISK,PA,1950-07-20 21:30:00,1950,7,20,21
Louisville,,OTHER,KY,1950-08-01 04:00:00,1950,8,1,4
Stanfield,,DISK,OR,1950-08-15 14:00:00,1950,8,15,14
Pikeville,,DISK,KY,1950-10-01 11:00:00,1950,10,1,11
Sandy Hook,,TRIANGLE,NJ,1950-10-15 15:00:00,1950,10,15,15
Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00,1950,12,12,22
Palm Springs,,CIGAR,CA,1951-01-20 04:30:00,1951,1,20,4
Thompsonville,,DISK,CT,1951-02-03 22:00:00,1951,2,3,22
Los Angeles,,DISK,CA,1951-02-15 11:00:00,1951,2,15,11
Irving,BLUE,DISK,KS,1951-04-15 00:30:00,1951,4,15,0
Fort Sill,,OVAL,OK,1951-05-15 03:00:00,1951,5,15,3
Oklahoma,,CIGAR,OK,1951-06-01 19:00:00,1951,6,1,19
Jasper,,OVAL,NC,1951-06-03 13:00:00,1951,6,3,13
Mount Pinos,,DISK,CA,1951-06-06 02:00:00,1951,6,6,2
Greenville,GREEN,DISK,MS,1951-06-15 20:30:00,1951,6,15,20
Jackson Heights,,DISK,NY,1951-06-30 07:00:00,1951,6,30,7
